id,Prediction
1087,1
513,1
1472,1
871,1
1393,1
511,1
67,1
1358,1
1764,1
1043,1
732,1
1723,0
1297,1
993,0
358,1
1687,1
54,1
1027,1
532,0
680,0
1247,1
1529,1
32,1
1019,1
35,0
1538,1
908,1
1055,1
1570,0
340,0
1650,0
455,1
31,1
1090,1
631,0
380,1
1185,1
367,1
1236,1
833,0
93,1
834,1
1494,0
570,0
48,1
1290,0
723,1
1676,1
716,1
114,0
60,0
803,1
642,1
1679,1
436,1
720,1
1403,0
216,1
394,0
814,1
1623,0
992,0
1378,1
1424,1
453,1
797,1
476,1
1772,1
1573,1
902,1
240,1
1421,0
1801,1
433,1
721,1
1270,1
1183,1
1779,1
156,0
206,1
612,1
281,1
30,0
972,1
37,1
1016,1
1344,1
1661,1
1288,0
1451,1
1593,1
1014,1
205,1
878,0
514,1
1624,1
787,1
1215,0
1410,1
869,0
1460,1
1289,0
536,1
1272,0
948,1
1816,1
1707,1
1129,1
528,1
977,1
1047,1
989,1
1359,0
688,1
744,1
499,0
761,1
645,1
152,1
1796,0
480,1
1139,1
1775,1
1136,0
895,1
109,1
1437,1
816,1
173,1
1212,1
782,1
1284,1
1023,1
1186,1
81,1
163,1
475,1
104,0
1292,1
987,0
180,0
1071,1
1518,1
12,0
681,1
1377,1
343,1
571,1
1533,1
1484,1
349,1
1210,0
1117,0
777,1
851,1
1317,1
1132,1
996,1
68,0
1826,0
315,1
1671,1
781,0
1450,1
1517,0
885,1
321,1
141,1
362,1
264,1
1166,1
1727,1
823,1
90,0
282,0
1618,1
934,1
283,1
1141,0
1105,1
1590,0
1048,0
1708,1
168,1
274,1
1449,1
249,1
978,1
167,1
75,1
1263,1
350,0
233,1
946,0
785,1
1003,1
1780,1
187,1
1811,0
589,1
651,1
955,0
1075,1
899,1
1130,0
1553,1
832,1
925,0
251,0
1197,1
467,1
1598,1
709,1
937,0
813,0
958,0
859,1
674,1
290,0
726,1
945,1
196,1
641,0
456,0
406,0
1822,0
111,0
928,0
1739,0
1827,0
1084,0
730,1
79,1
1020,0
40,0
1431,1
1592,1
280,0
310,0
1243,1
183,1
736,1
1659,0
1648,1
490,1
1506,1
824,1
42,0
203,1
169,1
957,0
1552,1
529,1
1725,1
392,0
963,1
5,0
1554,1
1806,0
627,1
1747,1
1700,0
1474,1
413,1
366,0
553,1
1591,1
572,1
1643,1
789,1
11,1
1366,1
637,1
639,0
417,1
1760,1
1706,1
1386,0
1724,0
143,0
487,0
561,1
884,1
1743,1
865,0
268,1
308,1
1433,1
1682,0
1646,1
844,1
1145,1
801,0
658,0
1820,1
77,1
323,0
221,0
737,1
566,1
517,0
648,1
830,1
701,1
230,0
429,1
1755,1
288,1
1483,0
1119,1
124,1
1471,1
317,0
505,0
497,1
181,1
1427,1
679,1
592,0
1109,0
403,1
587,1
1564,1
1388,1
620,1
1731,0
1103,1
998,1
625,1
555,1
1022,1
1462,1
1074,1
745,1
259,1
959,1
1655,0
386,1
690,1
66,1
463,0
401,1
1194,1
1807,1
377,1
940,1
753,1
1781,0
602,0
1089,1
663,0
488,1
629,0
661,1
901,0
1626,1
1354,1
58,0
949,1
424,1
1513,1
297,0
1532,1
1156,0
1717,1
1455,0
398,1
586,1
836,1
10,1
220,0
862,1
1124,1
211,0
399,0
1696,1
1771,0
1649,1
1499,1
673,0
1762,1
850,1
244,1
515,1
769,1
1063,1
266,0
